name	pop2020	pop2019	area	Density	rank
Saint Lucia	183.627	182.79	616	299.3506	189
Guam	168.775	167.294	549	309.98	190
Curacao	164.093	163.424	444	371.1667	191
Kiribati	119.449	117.606	811	149.6819	192
Micronesia	115.023	113.815	702	165.604	193
Grenada	112.523	112.003	344	328.5494	194
Saint Vincent and the Grenadines	110.94	110.589	389	286.0231	195
Aruba	106.766	106.314	180	595.5778	196
Tonga	105.695	104.494	747	142.9183	197
United States Virgin Islands	104.425	104.578	347	300.3631	198
Seychelles	98.347	97.739	452	218.823	199
Antigua and Barbuda	97.929	97.118	442	223.3733	200
Isle of Man	85.033	84.584	572	149.3182	201
Andorra	77.265	77.142	468	165.2885	202
Dominica	71.986	71.808	751	96.0945	203
Cayman Islands	65.722	64.948	264	251.8826	204
Bermuda	62.278	62.506	54	1149.8148	205
Marshall Islands	59.19	58.791	181	329.337	206
Northern Mariana Islands	57.559	57.216	464	124.8211	207
Greenland	56.77	56.672	2166086	0.0263	208
American Samoa	55.191	55.312	199	276.8844	209
Saint Kitts and Nevis	53.199	52.823	261	205.1494	210
Faroe Islands	48.863	48.678	1393	35.2111	211
Sint Maarten	42.876	42.388	34	1276.8235	212
Monaco	39.242	38.964	2	19755.5	213
Saint Martin	38.666	38.002	53	740.2642	214
Turks and Caicos Islands	38.717	38.191	948	41.3829	215
Liechtenstein	38.128	38.019	160	239.0625	216
San Marino	33.931	33.86	61	557.6557	217
Gibraltar	33.691	33.701	6	5616.3333	218
British Virgin Islands	30.231	30.03	151	201.4636	219
Palau	18.094	18.008	459	39.5839	220
Cook Islands	17.564	17.548	236	74.428	221
Anguilla	15.003	14.869	91	166.1209	222
Tuvalu	11.792	11.646	26	458.8846	223
Wallis and Futuna	11.239	11.432	142	78.1268	224
Nauru	10.824	10.756	21	517.9048	225
Saint Barthelemy	9.877	9.847	21	471.7619	226
Saint Pierre and Miquelon	5.794	5.822	242	23.8264	227
Montserrat	4.992	4.989	102	48.7941	228
Falkland Islands	3.48	3.377	12173	0.2902	229
Niue	1.626	1.615	260	6.2269	230
Tokelau	1.357	1.34	12	114.4167	231
Vatican City	0.801	0.799	1	800	232
